"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GAIL","EQ","03-Jan-2019","        350.30","        350.30","        352.45","        346.95","        350.00","        349.95","        350.51","    2397912","           840485757.75","      53505","    1339615","         55.87"
"GAIL","EQ","04-Jan-2019","        349.95","        350.25","        353.90","        347.55","        353.55","        353.15","        351.10","    1837879","           645280814.30","      42335","     823315","         44.80"
"GAIL","EQ","07-Jan-2019","        353.15","        353.50","        358.05","        351.10","        355.75","        357.10","        355.37","    1704243","           605636290.15","      27721","     856280","         50.24"
"GAIL","EQ","08-Jan-2019","        357.10","        355.60","        359.15","        352.80","        353.35","        354.60","        355.15","    2397084","           851328337.25","      39077","    1651750","         68.91"
"GAIL","EQ","09-Jan-2019","        354.60","        356.00","        356.25","        338.05","        341.00","        341.35","        343.21","    6152832","          2111695268.65","     109684","    2953260","         48.00"
"GAIL","EQ","10-Jan-2019","        341.35","        343.00","        345.10","        339.25","        343.80","        343.90","        341.82","    2754189","           941428406.20","      45578","    1327329","         48.19"
"GAIL","EQ","11-Jan-2019","        343.90","        343.60","        344.80","        337.20","        337.70","        338.60","        339.71","    2535455","           861311651.20","      60632","    1148941","         45.31"
"GAIL","EQ","14-Jan-2019","        338.60","        338.00","        338.30","        322.15","        325.20","        324.90","        326.46","    7970272","          2601948815.30","      97415","    4209304","         52.81"
"GAIL","EQ","15-Jan-2019","        324.90","        323.00","        326.95","        322.05","        325.40","        324.55","        324.35","    4525559","          1467886534.35","      55809","    2064714","         45.62"
"GAIL","EQ","16-Jan-2019","        324.55","        326.00","        331.45","        323.55","        326.00","        325.50","        327.65","    5083489","          1665615098.65","      69380","    2372563","         46.67"
"GAIL","EQ","17-Jan-2019","        325.50","        328.90","        333.40","        326.30","        332.75","        332.40","        330.46","    4290595","          1417879988.80","      82690","    2196952","         51.20"
"GAIL","EQ","18-Jan-2019","        332.40","        332.40","        332.85","        320.50","        321.50","        322.15","        324.08","    4459122","          1445129755.65","      90102","    2115459","         47.44"
"GAIL","EQ","21-Jan-2019","        322.15","        323.00","        328.90","        320.45","        327.60","        327.80","        326.01","    3304639","          1077335678.65","      53427","    1461353","         44.22"
"GAIL","EQ","22-Jan-2019","        327.80","        328.00","        336.00","        325.05","        332.75","        332.90","        333.07","    4770776","          1589014370.20","      82272","    2443942","         51.23"
"GAIL","EQ","23-Jan-2019","        332.90","        334.95","        336.50","        330.55","        332.00","        334.20","        334.41","    3063229","          1024385842.05","      52980","    1715593","         56.01"
"GAIL","EQ","24-Jan-2019","        334.20","        333.90","        334.80","        330.55","        332.90","        333.60","        332.77","    3384646","          1126310392.70","      40513","    2178543","         64.37"
"GAIL","EQ","25-Jan-2019","        333.60","        334.00","        337.50","        330.70","        335.20","        334.90","        334.15","    3615927","          1208262735.05","      66583","    2104302","         58.20"
"GAIL","EQ","28-Jan-2019","        334.90","        334.55","        335.25","        327.90","        333.00","        333.20","        332.15","    3799381","          1261958112.35","      79621","    2450233","         64.49"
"GAIL","EQ","29-Jan-2019","        333.20","        331.00","        331.10","        319.65","        324.00","        323.60","        325.52","    6076778","          1978106302.95","      75166","    3863073","         63.57"
"GAIL","EQ","30-Jan-2019","        323.60","        325.00","        327.60","        319.90","        322.00","        321.60","        323.11","    6159363","          1990128291.25","      91543","    3868653","         62.81"
"GAIL","EQ","31-Jan-2019","        321.60","        323.00","        333.90","        322.50","        333.00","        332.15","        331.21","   11052707","          3660808796.60","      94136","    6919681","         62.61"
"GAIL","EQ","01-Feb-2019","        332.15","        333.30","        335.35","        326.10","        332.00","        333.50","        330.99","    3367974","          1114753742.25","      57278","    1797981","         53.38"
"GAIL","EQ","04-Feb-2019","        333.50","        331.15","        331.80","        327.00","        330.20","        329.75","        329.31","    1682947","           554218382.45","      35268","     755184","         44.87"
"GAIL","EQ","05-Feb-2019","        329.75","        330.25","        339.00","        325.55","        333.25","        332.10","        332.04","    5703845","          1893920688.85","      62821","    1180277","         20.69"
"GAIL","EQ","06-Feb-2019","        332.10","        336.50","        340.85","        330.30","        340.30","        339.80","        336.88","    4122658","          1388834530.60","      59947","    1766682","         42.85"
"GAIL","EQ","07-Feb-2019","        339.80","        340.20","        342.70","        335.65","        338.90","        339.95","        338.73","    2113465","           715889279.25","      35022","     797737","         37.75"
"GAIL","EQ","08-Feb-2019","        339.95","        337.55","        339.50","        334.40","        335.35","        336.35","        337.41","    2274544","           767462277.95","      38022","    1261829","         55.48"
"GAIL","EQ","11-Feb-2019","        336.35","        334.30","        335.40","        324.35","        328.95","        328.40","        327.66","    3272495","          1072267063.80","      29759","    1782888","         54.48"
"GAIL","EQ","12-Feb-2019","        328.40","        322.00","        326.55","        321.45","        326.25","        325.70","        324.33","    2836974","           920108040.20","      34415","    1384340","         48.80"
"GAIL","EQ","13-Feb-2019","        325.70","        325.05","        329.50","        313.10","        316.50","        315.50","        322.43","    4150836","          1338354036.90","      46128","    2296740","         55.33"
"GAIL","EQ","14-Feb-2019","        315.50","        316.50","        316.80","        306.80","        308.10","        307.95","        311.02","    7893518","          2455058854.20","     103781","    3899648","         49.40"
"GAIL","EQ","15-Feb-2019","        307.95","        309.75","        319.15","        309.10","        317.00","        317.75","        314.24","    4963248","          1559632622.65","      58311","    1682202","         33.89"
"GAIL","EQ","18-Feb-2019","        317.75","        318.55","        321.00","        310.75","        317.00","        317.45","        315.48","    3410237","          1075851816.90","      57928","    1428671","         41.89"
