"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","03-Jan-2019","        147.00","        147.00","        147.40","        142.85","        144.10","        143.40","        144.70","    5862736","           848357183.65","      66677","    3122102","         53.25"
"NTPC","N4","03-Jan-2019","       1194.40","       1200.00","       1200.00","       1153.00","       1153.00","       1153.00","       1158.41","        485","              561830.00","         14","        455","         93.81"
"NTPC","N6","03-Jan-2019","       1322.10","       1299.80","       1299.80","       1265.01","       1289.00","       1289.00","       1285.24","        785","             1008914.88","         28","        776","         98.85"
"NTPC","N7","03-Jan-2019","         13.31","         13.79","         13.79","         13.18","         13.30","         13.26","         13.20","    2164671","            28581493.04","        130","    2161424","         99.85"
"NTPC","NB","03-Jan-2019","       1134.00","       1070.00","       1070.00","       1065.00","       1065.00","       1065.00","       1068.33","        300","              320500.00","          3","        300","        100.00"
"NTPC","ND","03-Jan-2019","       1146.99","       1150.00","       1150.25","       1140.00","       1150.00","       1150.12","       1145.95","       1304","             1494322.53","         13","       1301","         99.77"
"NTPC","EQ","04-Jan-2019","        143.40","        143.95","        146.30","        142.25","        146.00","        145.75","        144.21","    6656760","           959944125.65","      51506","    2806815","         42.16"
"NTPC","N5","04-Jan-2019","       1228.00","       1245.00","       1245.00","       1245.00","       1245.00","       1245.00","       1245.00","         30","               37350.00","          2","         30","        100.00"
"NTPC","N6","04-Jan-2019","       1289.00","       1330.00","       1330.00","       1261.01","       1299.99","       1299.99","       1302.91","         11","               14332.00","          4","          8","         72.73"
"NTPC","N7","04-Jan-2019","         13.26","         13.20","         13.35","         13.20","         13.28","         13.28","         13.26","      72710","              963874.24","         77","      72086","         99.14"
"NTPC","NB","04-Jan-2019","       1065.00","       1060.01","       1060.01","       1060.01","       1060.01","       1060.01","       1060.01","         14","               14840.14","          1","         14","        100.00"
"NTPC","ND","04-Jan-2019","       1150.12","       1135.00","       1150.00","       1135.00","       1150.00","       1150.00","       1138.23","        200","              227645.00","          2","        200","        100.00"
"NTPC","EQ","07-Jan-2019","        145.75","        146.25","        149.70","        146.15","        147.70","        148.60","        148.14","   11768203","          1743377169.90","      56520","    9163582","         77.87"
"NTPC","N4","07-Jan-2019","       1153.00","       1240.00","       1240.00","       1240.00","       1240.00","       1240.00","       1240.00","         25","               31000.00","          1","         25","        100.00"
"NTPC","N5","07-Jan-2019","       1245.00","       1252.55","       1252.55","       1146.55","       1162.00","       1162.00","       1164.60","        276","              321430.75","          3","        251","         90.94"
"NTPC","N6","07-Jan-2019","       1299.99","       1360.00","       1360.00","       1255.61","       1255.61","       1255.61","       1319.65","        107","              141202.44","         15","        107","        100.00"
"NTPC","N7","07-Jan-2019","         13.28","         13.05","         13.30","         13.05","         13.26","         13.26","         13.26","      16504","              218787.75","         84","      14573","         88.30"
"NTPC","N8","07-Jan-2019","       1415.00","       1696.60","       1698.00","       1696.60","       1696.60","       1696.60","       1697.02","         37","               62789.60","          5","         36","         97.30"
"NTPC","NC","07-Jan-2019","       1081.07","       1125.00","       1150.00","       1100.00","       1100.01","       1100.01","       1116.30","        316","              352751.31","          6","        316","        100.00"
"NTPC","ND","07-Jan-2019","       1150.00","       1164.00","       1189.99","       1140.00","       1165.00","       1165.00","       1147.79","        197","              226115.50","         11","        157","         79.70"
"NTPC","EQ","08-Jan-2019","        148.60","        148.00","        149.50","        146.00","        147.00","        146.95","        147.73","    5547244","           819484441.25","      43519","    2839861","         51.19"
"NTPC","N4","08-Jan-2019","       1240.00","       1199.99","       1220.00","       1164.00","       1164.00","       1164.00","       1188.78","         80","               95102.32","          9","         80","        100.00"
