Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,EQ,03-01-19,293.9,295,295.55,290.1,291.05,291.1,292.87,17548347,5139324197,110626,6361787,36.25
SBIN,N5,03-01-19,11540,11500,11553,11500,11545,11545,11541.88,322,3716486.5,32,322,100
SBIN,EQ,04-01-19,291.1,292.1,299,291.5,297.3,297.65,296.18,19514041,5779686252,142962,4963982,25.44
SBIN,N2,04-01-19,11288,11150,11212,11150,11212,11212,11181,10,111810,4,5,50
SBIN,N5,04-01-19,11545,11553,11600,11551,11596,11596.33,11580.99,233,2698370.13,33,211,90.56
SBIN,EQ,07-01-19,297.65,301.05,301.5,295.2,296.55,296.3,298.25,14579399,4348321236,113554,4817960,33.05
SBIN,N5,07-01-19,11596.33,11699,11699,11500,11600,11600,11575.06,122,1412157.01,15,91,74.59
SBIN,EQ,08-01-19,296.3,295.8,306,294.75,305.5,305.3,301.96,22949961,6929908002,161941,8532454,37.18
SBIN,N5,08-01-19,11600,11501.1,11598,11501,11540,11540.54,11539.97,127,1465576.2,21,102,80.31
SBIN,EQ,09-01-19,305.3,306,307.1,300.75,304.75,305.3,304.37,21109911,6425242058,153567,5956634,28.22
SBIN,N2,09-01-19,11212,11201,11201,11201,11201,11201,11201,5,56005,1,5,100
SBIN,N5,09-01-19,11540.54,11560,11599.85,11542,11560,11562.68,11561.77,57,659020.75,19,57,100
SBIN,EQ,10-01-19,305.3,305.1,307.5,303.5,305.4,305.55,305.6,16295468,4979912228,105369,3670150,22.52
SBIN,N5,10-01-19,11562.68,11565,11600,11550,11589,11580.44,11557.94,112,1294489.78,19,112,100
SBIN,EQ,11-01-19,305.55,305.4,306.2,300.95,301.65,302.75,303.57,12702551,3856075154,113356,4877179,38.4
SBIN,N2,11-01-19,11201,11270,11270,11250,11250,11250,11252.86,14,157540,3,14,100
